Date,Pressure,Temperature,Tpot (K),Tdew (degC),Humidity,VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),H2OC (mmol/mol),rho (g/m**3),wv (m/s),max. wv (m/s),wd (deg),Anomaly
2009-05-26 13:00:00,983.73,26.95,301.52,14.92,47.72,35.6,16.99,18.61,10.81,17.27,1134.43,3.23,6.25,232.8,True
2009-05-26 13:10:00,983.73,27.25,301.82,12.78,40.81,36.23,14.79,21.45,9.4,15.03,1134.27,4.59,8.88,228.0,True
2009-05-26 13:20:00,983.77,26.9,301.47,12.79,41.67,35.5,14.79,20.71,9.41,15.04,1135.63,4.95,9.88,212.8,True
2009-07-02 15:40:00,989.47,26.3,300.37,16.43,54.62,34.27,18.72,15.55,11.85,18.92,1142.81,4.38,5.88,31.33,True
2009-07-02 15:50:00,989.41,26.55,300.62,15.98,52.31,34.78,18.19,16.58,11.52,18.39,1142.02,3.6,5.75,44.38,True
2009-07-03 14:10:00,985.42,26.55,300.97,15.47,50.61,34.78,17.6,17.18,11.18,17.86,1137.64,2.6,5.63,49.52,True
2009-07-03 14:20:00,985.37,26.49,300.92,15.29,50.22,34.65,17.4,17.25,11.06,17.66,1137.9,1.73,3.88,65.14,True
2009-07-03 14:30:00,985.33,26.62,301.05,15.26,49.74,34.92,17.37,17.55,11.04,17.63,1137.38,3.82,5.75,33.14,True
2009-07-03 14:40:00,985.3,26.49,300.92,14.71,48.38,34.65,16.77,17.89,10.65,17.02,1138.1,2.83,4.38,34.87,True
2009-07-03 14:50:00,985.3,26.68,301.11,14.78,48.05,35.04,16.84,18.2,10.7,17.09,1137.35,2.18,4.5,35.34,True
2009-07-03 15:00:00,985.3,26.75,301.18,14.75,47.75,35.19,16.8,18.39,10.68,17.05,1137.1,2.97,4.63,14.93,True
2009-07-03 15:10:00,985.27,26.83,301.27,14.62,47.14,35.35,16.67,18.69,10.59,16.91,1136.82,2.43,5.13,74.6,True
2009-07-03 15:20:00,985.09,27.01,301.46,14.74,47.02,35.73,16.8,18.93,10.68,17.05,1135.87,2.15,3.88,57.11,True
2009-07-03 15:30:00,984.94,27.16,301.63,14.67,46.39,36.04,16.72,19.32,10.63,16.98,1135.16,1.48,2.63,103.2,True
2009-07-03 15:40:00,984.81,27.08,301.56,14.78,46.93,35.88,16.84,19.04,10.7,17.1,1135.26,1.78,3.75,59.68,True
2009-07-03 15:50:00,984.85,27.01,301.48,14.86,47.37,35.73,16.92,18.8,10.76,17.19,1135.54,1.95,3.38,59.68,True
2009-07-03 16:00:00,984.93,27.38,301.85,14.96,46.66,36.51,17.04,19.48,10.83,17.3,1134.18,1.02,3.25,68.02,True
2009-07-03 16:10:00,984.92,27.66,302.13,15.42,47.28,37.11,17.55,19.57,11.16,17.82,1132.89,1.87,4.0,27.85,True
2009-07-03 16:20:00,984.79,27.41,301.89,15.22,47.35,36.58,17.32,19.26,11.01,17.59,1133.78,1.92,3.0,41.87,True
2009-07-03 16:30:00,984.65,27.35,301.84,15.45,48.23,36.45,17.58,18.87,11.18,17.85,1133.73,1.81,3.38,16.37,True
2009-07-03 16:40:00,984.57,27.3,301.8,15.7,49.17,36.34,17.87,18.47,11.37,18.15,1133.7,2.66,4.38,35.17,True
2009-07-03 16:50:00,984.6,27.25,301.75,15.5,48.67,36.23,17.64,18.6,11.22,17.91,1134.03,1.88,4.25,73.6,True
